Participant_ID,Age,Gender,Brewing_Method,Time_of_Day,Sleep_Hours,Sleep_Quality_Score,Stress_Level,Physical_Activity_Level,Caffeine_mg,Stroop_Reaction_Time_ms,PVT_Reaction_Time_ms,N_Back_Accuracy,Focus_Level
P2000,63,Male,Drip,Evening,8.252212063056762,6.4149006377474445,3.795229758681504,3.4367740983559707,193.7398891611489,588.8639935506063,180.0,0.6855051834537953,1.0
P2001,20,Female,French Press,Afternoon,9.5,6.017314627993658,2.822268181732778,2.769815679754342,142.8062190302536,789.7986951387034,227.34644599460876,0.643083572673612,0.8354291190929232
P2002,46,Male,Cold Brew,Morning,7.481754470190797,7.8731644403264065,4.3586603506763115,9.246899053227887,194.67635937096102,627.1877300673057,260.7798000529776,0.8344108298782917,0.9103795875191962
P2003,52,Female,Drip,Morning,6.013837183414439,6.3539702117079235,10.0,4.209915717393309,151.3256929434414,690.4774975119291,251.77071041248243,0.7592994897614559,0.7700820059127574
P2004,56,Male,Espresso,Morning,6.877482386641757,8.602857527662021,7.757663214066609,4.8961662211974115,80.43895434351032,677.9104848133468,309.438358695424,0.6976774676997373,0.6680095925207222
P2005,35,Male,Espresso,Afternoon,5.30954648530691,7.763277770293628,3.293421616916171,8.985476053563142,94.54998758924025,636.0244359688251,292.9473084430378,0.6713286165180162,0.5403688678898299
P2006,37,Female,Espresso,Morning,6.769711878323633,8.172908274869942,9.426532421214535,5.42213393266362,102.55071491752686,659.4136603186007,301.73575173779096,0.65935142840789,0.5805598312636697
P2007,60,Female,Espresso,Evening,6.09977648317986,3.4019247695557,5.252263829540818,7.432687997877218,82.69957909227612,772.6230577601564,282.2901464585688,0.6062050400652985,0.6237822108924391
P2008,40,Female,Espresso,Morning,7.054116955863278,8.486096676988419,8.79004001559313,5.393763505562673,70.05160202924158,700.8664591698382,325.9579380075931,0.7126610708741409,0.5682320415624545
P2009,51,Male,Drip,Morning,6.275442215485702,3.1242533741558383,4.135338925680807,5.217520628121671,144.56204151425848,626.6037747208411,291.44121938481464,0.7164069843426782,0.6837219417084451
P2010,50,Male,Espresso,Morning,6.13044743538876,5.1218303076082305,2.443267166509091,8.340361843971042,95.54044734368392,740.6713235897931,224.23853225479954,0.6842606813397442,0.6933857739913298
P2011,27,Male,Espresso,Afternoon,6.30886151606759,6.2234895436915325,6.5926575325258625,4.994206424815455,88.75535398126897,708.9708801134066,268.735251502315,0.6762322352090347,0.6672716967336935
P2012,50,Male,Drip,Afternoon,6.791076674962071,6.864939015592399,3.3854263709889887,10.0,122.74107016654388,608.3022337103798,261.1876965480678,0.7781537373260405,0.7201406770584647
P2013,64,Female,Pour Over,Afternoon,6.123175802299456,7.97608995665612,5.978959615368169,5.904833802232165,156.52986791157912,623.736058568446,216.42657445003275,0.6869199602137299,0.865013317131828
P2014,50,Male,Drip,Morning,7.657307432105882,3.5776424041961694,6.430858901552255,1.3663008081155263,172.26608603730617,671.6902686955167,250.2242455374302,0.8158131111340063,0.8837511206361558
P2015,43,Female,French Press,Morning,7.092712227626495,7.787796870012315,3.1454281300581104,5.225331172816865,183.60430371400201,521.2550058700948,191.13513074351798,0.7539956441950366,0.8838726517315432
P2016,37,Female,French Press,Evening,6.500821258515944,8.095349913126421,1.0,5.626045374052885,176.6241521871093,523.4223769760177,202.92713348463013,0.7836320082544869,1.0
P2017,32,Female,Espresso,Morning,5.892441791928603,6.995195341801509,2.957016582007057,10.0,108.85640378397845,507.86718396648837,257.76884207101784,0.6363566536211445,0.7229430868748352
P2018,54,Male,Cold Brew,Evening,6.710692760062465,5.581356506447064,6.19057887770162,3.36075626264715,206.84074733154296,563.363150758939,263.39750466893275,0.9735429874538152,0.9964257371006889
P2019,50,Male,Espresso,Evening,5.066389322687625,3.124053208727582,1.5692456029775235,4.501557890519776,81.10040922838742,684.8312320068798,228.1770131393758,0.6411668912592705,0.8505791987425698
P2020,34,Female,French Press,Morning,6.055262226839992,8.23832365555811,7.821185398359951,6.7618607931194585,241.86340989771622,674.8279274415967,213.06567741633046,0.9058246795823842,1.0
P2021,22,Female,Drip,Morning,4.804237863185474,7.278822374648365,5.208736903430008,4.395685524620513,220.5095755156593,542.3085313299243,288.6199291764083,0.8168247154162238,0.9708793961274708
P2022,21,Female,Pour Over,Afternoon,8.579208217296468,4.665959615519793,6.39165587780727,6.892046247148993,147.8340715944859,694.5712298140955,297.63144090151593,0.7209606579542824,0.8059568122736608
P2023,20,Male,Cold Brew,Morning,5.400579299216764,6.956028180873895,5.738072091152074,7.057586267483648,239.24076985731617,587.3239875420053,257.6868083095928,0.9005417417929028,0.9639704289567242
P2024,38,Female,Espresso,Morning,6.062599004235966,2.2431742523618308,6.458178197920583,8.18639136840121,66.08256888216604,651.9692508699156,318.4006441833482,0.5310778422452757,0.45549144885322534
